filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000000.mp4,2,Angle/Side Impact,Yes,Yes (due to visible injuries),No,Yes (standard for traffic accidents with injuries),Motorcycle/Scooter and Motorcycle/Scooter,No,"Day, clear",Yes
000001.mp4, 4,  Multiple rear-end collisions and possibly some glancing blows. It is a chain reaction., Unable to assess from the images.  Potentially yes., Unable to assess from the images. Potentially yes., Unable to assess from the images. Potentially no.,"  Likely yes, due to multiple vehicles involved and potential injuries.", Appears to be mostly sedans and SUVs., No," Day, snowy conditions.","  Yes, the footage is low resolution."
000002.mp4, 4, T-bone," Yes (Likely, based on the severity of the impact)"," Yes (Likely, given the potential for injuries)", Yes (Because there is a fire)," Yes (Standard for accidents, especially with injuries)"," 2 SUVs, 2 Trucks, 1 sedan", Yes," Day, clear", Yes
000003.mp4,2,T-bone,Yes (due to the severity of the impact),Yes,No,Yes,"Sedan, Light Van",No,"Day, clear",No
000004.mp4, 1, Unknown, Unknown, Unknown, Unknown, Unknown, Truck, no," Night, unknown weather", yes
000005.mp4, 2, T-bone. One vehicle appears to be struck on the side.," Difficult to determine from the footage, but given the severity of the impact, it's possible. My best guess is yes."," Likely, due to the nature of the accident. My best guess is yes.", Difficult to say with certainty. There does not appear to be fire. My best guess is no.," Almost certainly, to investigate and file a report. My best guess is yes.", Appears to be an SUV and it is difficult to ascertain the other vehicle., No., Night and the weather appears to be clear., Yes.
000006.mp4, 2," T-bone (likely, given the visible movement and impact)", Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," Likely, given that it is a car accident."," Based on the images, it's hard to determine but they appear to be sedan type vehicles.", No.," Night, weather is likely clear.", Yes.
000007.mp4,2,T-bone,Cannot determine with certainty from the provided frames.,Cannot determine with certainty from the provided frames.,No,"Cannot determine with certainty from the provided frames, but likely needed due to accident type.","Sedan, undetermined second vehicle",No,"Night, weather appears clear.",Yes
000008.mp4, 0, None, No, No, No, No, Sedan, No," Night, weather unknown but appears clear", Yes
000009.mp4, 2, Appears to be a side-impact collision (T-bone)., Unable to determine from the image., Unable to determine from the image., Unable to determine from the image., Unable to determine from the image., SUV and Pickup Truck., No., Night; weather conditions are not discernible., Yes.
