filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000000.mp4, 2, Angle/Side impact, Yes, Yes, No, Yes, Motorcycles, No," Day, clear", Yes
000001.mp4, 6," Multi-vehicle pile-up. The sequence shows a chain reaction of impacts, primarily rear-end collisions."," Possibly. Given the number of vehicles and the visible impacts, it is possible someone sustained injuries.", Possibly., No. There is no visible fire or indication of the need for fire services.," Yes. Given the number of vehicles and potential injuries, traffic control and accident investigation are likely required."," Sedans, SUVs.", No.," Daytime, snowy conditions."," Yes. The footage is low resolution, making it difficult to assess fine details."
000002.mp4, 4," T-bone/Broadside collision, with potential secondary impacts."," Yes, highly probable given the severity of the collision."," Yes, very likely."," Yes, given the visible fire."," Yes, for accident investigation and traffic control."," 2 SUVs, 2 Trucks, 1 sedan in frame", Yes," Day, clear."," Yes, the footage is low resolution."
000003.mp4,2,T-bone,Yes,Yes,No,Yes,"Sedan, unidentified white vehicle (possibly a small truck or van)",No,"Day, Clear",No
000004.mp4,2,T-bone,Cannot determine,Cannot determine,Cannot determine,Likely yes,"Sedan, and Truck",No,"Night, cannot determine weather",Yes
000005.mp4, 2, T-Bone," Cannot determine with certainty from the video. Likely, given the impact.", Likely.," Cannot determine with certainty. Possible, due to the severity of the collision and potential for vehicle damage.", Yes., SUV and another vehicle., No," Night, weather unknown (appears clear based on visibility).", Yes.
000006.mp4,2,T-bone (Likely),"Likely Yes. Without seeing closer footage, it is difficult to know the severity.",Likely Yes,Likely No.,Yes.,"Difficult to definitively identify due to the quality, but likely a motorcycle and a car.",No,"Night, clear",Yes
000007.mp4, 2, T-bone, Uncertain, Uncertain, No, Uncertain," Sedan, SUV", No," Night, clear", Yes
000008.mp4," 0 (Based on the single frame provided, there is no visible collision or more than one vehicle at the same time)", N/A (No accident is observed in the current frame), Unknown (Cannot be determined from the image), No, No, Unknown, Sedan (Based on the single vehicle visible), No," Night, Unknown weather", Yes
000009.mp4, 0, There does not appear to be an accident., Cannot assess, No, No, No," SUVs, Truck, Sedan", No," Night, unclear", Yes
000010.mp4, 4, Chain reaction rear end, I cannot determine from the footage., I cannot determine from the footage., I cannot determine from the footage.," Likely, due to the number of vehicles involved.", SUVs and a sedan., No.," Day, clear.", Yes.
000011.mp4, 2, T-bone, Possibly (hard to determine with certainty from the footage), Possibly (due to T-bone type), No (no visible fire or smoke), Likely (given accident type)," Sedan, Taxi (likely a Toyota Prius, based on the roofline)", No," Day, clear"," Yes, the footage is low resolution and grainy."
000012.mp4, 1, Unknown. It appears that one vehicle driving through or turning at an intersection.," Unknown. Based on the limited information, it is impossible to determine if there are injuries.", Unknown., Unknown.," Likely, to investigate the circumstances of the potential accident.", Appears to be a sedan or car., No," Night, weather is unknown.", Yes.
000013.mp4, 2, T-bone, Cannot determine., Cannot determine., No., Likely.," SUV, Sedan", No.," Night, clear", Yes.
000014.mp4, 3, T-bone or angle/side impact type of accident," Possibly yes, based on accident severity.", Possibly yes, Possibly no, Yes," sedan, sedan, sedan", No," Day, possibly rainy or wet conditions based on the road.", Yes
000015.mp4," 0 (Based on these images, there is no visual evidence of an accident. The vehicles are moving normally at an intersection).", Not Applicable, no, no, no, no," SUV, Sedan, Van", no, Night/Wet, yes
